months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,auto_year,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,auto_make,fraud_reported
111,27,500,1459.97,5000000,0,0,2,3,1,2,2011,OH,250/500,MALE,MD,sales,yachting,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,NO,NO,Ford,1
242,40,500,1238.65,0,0,-44600,5,1,1,1,1998,OH,100/300,FEMALE,High School,transport-moving,bungie-jumping,husband,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,YES,NO,Saab,0
440,61,500,1050.76,0,41500,-70200,21,1,2,3,2004,OH,250/500,MALE,PhD,transport-moving,movies,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,?,NO,Nissan,1
20,23,1000,1711.72,0,0,0,21,3,2,2,2002,OH,500/1000,FEMALE,JD,tech-support,base-jumping,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,NO,NO,Chevrolet,1
461,57,500,865.33,7000000,0,0,7,3,0,1,1995,IL,100/300,FEMALE,High School,farming-fishing,golf,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,NO,?,Dodge,0
208,36,500,1153.49,0,0,0,16,3,1,0,2004,IL,250/500,MALE,Associate,craft-repair,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,YES,YES,Accura,0
279,43,2000,1281.25,0,0,0,13,1,0,1,2010,OH,500/1000,MALE,Associate,machine-op-inspct,cross-fit,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,YES,NO,Mercedes,1
244,40,500,1342.8,0,0,0,2,1,1,3,2014,IL,100/300,FEMALE,MD,sales,base-jumping,husband,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,YES,YES,Toyota,0
134,30,2000,1443.32,0,0,0,19,3,0,2,1995,OH,250/500,FEMALE,PhD,exec-managerial,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,?,YES,Suburu,1
122,29,1000,1629.94,0,0,-47100,17,1,0,1,2014,OH,250/500,FEMALE,Masters,priv-house-serv,skydiving,other-relative,Parked Car,?,Trivial Damage,,SC,Riverwood,?,NO,Dodge,0
156,31,2000,1134.08,0,0,0,3,1,2,0,2013,IL,100/300,MALE,PhD,other-service,reading,husband,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,?,?,Ford,1
232,43,500,1483.91,8000000,0,-33600,17,3,0,1,2013,OH,250/500,MALE,College,machine-op-inspct,golf,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,NO,?,Volkswagen,1
244,40,2000,1304.67,7000000,0,-45000,5,3,1,1,2001,IN,500/1000,MALE,Masters,armed-forces,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,?,?,Dodge,0
84,30,2000,1035.79,0,44400,-51500,9,1,1,0,2010,IL,500/1000,FEMALE,MD,protective-serv,kayaking,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,NO,YES,Volkswagen,0
394,57,500,1401.2,0,51500,0,9,1,1,0,1999,IL,250/500,FEMALE,High School,craft-repair,movies,own-child,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,NO,NO,Audi,0
246,45,1000,1665.45,0,34400,-33100,9,3,2,2,2006,IL,250/500,MALE,JD,machine-op-inspct,hiking,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,?,?,Toyota,1
35,29,2000,653.66,0,52100,-46900,22,3,0,0,2009,IN,500/1000,FEMALE,JD,handlers-cleaners,video-games,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,NO,?,BMW,0
156,37,500,1080.13,0,0,-61000,15,3,0,3,2001,OH,100/300,MALE,Associate,protective-serv,reading,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,YES,NO,Nissan,0
195,36,2000,1346.18,0,57800,-53300,14,3,2,3,2007,IN,100/300,FEMALE,Associate,machine-op-inspct,camping,wife,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,YES,YES,Chevrolet,0
369,55,2000,1589.54,0,55400,0,6,3,2,0,2003,OH,250/500,MALE,College,handlers-cleaners,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,?,YES,Toyota,0
271,40,1000,1251.65,0,71200,0,6,1,0,0,2012,IL,100/300,FEMALE,Associate,other-service,camping,wife,Parked Car,?,Minor Damage,,NY,Hillsdale,NO,NO,Audi,0
332,47,2000,1083.01,0,91900,0,22,4,2,0,2010,IL,100/300,MALE,MD,craft-repair,paintball,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,YES,?,Jeep,1
107,26,500,974.59,0,62800,0,14,3,1,0,2002,OH,100/300,FEMALE,JD,armed-forces,skydiving,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,?,NO,Nissan,0
217,39,2000,1399.85,0,49900,-19800,16,3,0,2,1997,IL,500/1000,FEMALE,Masters,other-service,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,NO,?,Ford,0
243,43,500,1307.74,0,0,-75700,10,3,0,1,2008,IN,500/1000,FEMALE,Associate,machine-op-inspct,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,?,NO,Jeep,0
296,42,2000,1219.27,0,53100,-63400,9,3,1,2,2012,IN,250/500,MALE,Associate,tech-support,paintball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,YES,NO,Saab,0
264,41,500,1411.3,0,55600,0,4,1,1,0,2004,OH,100/300,MALE,PhD,prof-specialty,cross-fit,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,NO,?,BMW,1
108,33,2000,694.45,0,0,0,6,3,0,1,2011,IL,100/300,FEMALE,JD,armed-forces,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,?,YES,Nissan,1
32,38,500,1006.77,6000000,0,0,15,3,2,1,1997,IL,100/300,FEMALE,College,other-service,sleeping,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,YES,YES,BMW,0
259,39,1000,1422.36,0,0,-83900,12,3,1,3,2012,OH,250/500,FEMALE,JD,craft-repair,movies,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,NO,?,Nissan,0
186,33,1000,1348.32,0,37600,-37600,3,1,2,1,2013,IN,100/300,FEMALE,Associate,craft-repair,cross-fit,wife,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,NO,?,Chevrolet,1
201,40,2000,1315.56,0,0,0,14,1,0,0,2003,OH,250/500,FEMALE,PhD,transport-moving,video-games,not-in-family,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,YES,YES,Jeep,0
436,58,2000,1407.01,5000000,47400,-27600,10,1,0,2,1997,OH,250/500,MALE,PhD,tech-support,sleeping,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,?,?,BMW,1
189,36,2000,1388.58,0,0,-49400,17,3,1,3,2009,OH,250/500,FEMALE,MD,priv-house-serv,basketball,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,?,YES,Ford,0
105,33,500,1310.76,0,0,-40900,8,1,0,1,2008,IL,500/1000,FEMALE,High School,adm-clerical,kayaking,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,YES,?,Accura,0
163,31,1000,1004.63,6000000,26900,0,14,3,2,0,1999,IN,100/300,MALE,JD,priv-house-serv,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,YES,NO,Suburu,0
219,40,500,1134.91,0,68700,0,6,1,1,0,1997,OH,100/300,FEMALE,Associate,transport-moving,golf,not-in-family,Vehicle Theft,?,Trivial Damage,,SC,Riverwood,?,NO,Toyota,0
88,25,1000,1194.0,0,0,0,6,1,1,2,2013,IN,250/500,FEMALE,JD,handlers-cleaners,movies,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,YES,YES,Ford,1
40,39,1000,1248.25,4000000,0,-33300,8,1,0,2,2013,IN,500/1000,FEMALE,College,sales,hiking,own-child,Parked Car,?,Minor Damage,Police,VA,Northbrook,NO,?,BMW,0
284,42,500,1338.54,-1000000,0,0,13,1,0,1,1996,OH,100/300,MALE,Associate,machine-op-inspct,kayaking,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,YES,?,Chevrolet,0
59,40,2000,782.23,0,64200,-32300,0,3,0,2,2010,IL,250/500,MALE,College,protective-serv,golf,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,?,NO,BMW,0
39,31,2000,1366.9,0,0,-15700,14,3,1,0,2014,IL,250/500,FEMALE,High School,handlers-cleaners,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,?,NO,BMW,1
147,34,1000,1275.81,0,0,-48300,13,1,2,2,1998,IL,500/1000,MALE,High School,sales,dancing,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,YES,?,Mercedes,0
156,37,500,1090.65,0,0,-51800,16,4,1,2,2010,IN,250/500,MALE,High School,exec-managerial,golf,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,?,YES,Honda,1
123,31,500,1326.0,0,0,-54600,13,1,1,2,2009,IN,250/500,FEMALE,Associate,prof-specialty,basketball,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,?,NO,Mercedes,0
231,43,2000,972.47,0,0,-58100,15,3,2,2,2010,IL,250/500,MALE,College,protective-serv,reading,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,YES,YES,Audi,0
247,39,500,806.31,0,0,0,3,1,2,3,2003,IL,100/300,FEMALE,College,handlers-cleaners,dancing,wife,Parked Car,?,Trivial Damage,Police,SC,Northbend,?,?,Dodge,0
194,35,500,1416.24,0,0,0,7,1,1,0,2003,IL,500/1000,FEMALE,MD,adm-clerical,golf,not-in-family,Parked Car,?,Minor Damage,,WV,Northbend,YES,?,Nissan,0
119,27,2000,1097.64,0,27100,0,16,2,1,0,2006,IN,250/500,MALE,High School,transport-moving,video-games,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,NO,?,Accura,0
259,43,500,947.75,0,0,-39300,15,1,1,3,2008,IL,100/300,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,NO,NO,Audi,0
107,31,2000,1018.73,5000000,20000,-82700,21,3,1,2,2001,IL,100/300,MALE,Associate,handlers-cleaners,yachting,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,YES,?,Honda,0
48,44,2000,1400.74,0,34000,-55600,23,3,0,2,2013,IL,100/300,MALE,College,sales,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,YES,?,Jeep,0
267,40,500,1155.53,5000000,0,-35200,5,1,0,2,1997,IL,250/500,MALE,JD,transport-moving,camping,wife,Parked Car,?,Trivial Damage,Police,NY,Columbus,?,NO,Ford,0
286,47,500,1386.93,0,54100,-77600,15,3,0,0,2001,IN,250/500,MALE,High School,priv-house-serv,bungie-jumping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,YES,NO,Accura,0
175,34,500,915.29,0,82400,-57100,14,1,2,1,2009,OH,100/300,FEMALE,JD,handlers-cleaners,base-jumping,wife,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,?,YES,Honda,1
111,29,500,1239.55,2000000,0,0,1,1,1,1,1996,IL,250/500,FEMALE,PhD,farming-fishing,kayaking,own-child,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,?,YES,Mercedes,1
151,37,500,1366.42,0,44000,0,14,3,1,2,1998,IN,250/500,FEMALE,Associate,protective-serv,cross-fit,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,NO,YES,Nissan,1
156,37,1000,1086.48,6000000,0,-53800,17,3,1,1,1999,OH,500/1000,MALE,Associate,machine-op-inspct,hiking,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,?,YES,Suburu,0
165,36,2000,1247.87,0,0,-39700,20,3,2,2,2008,IL,250/500,MALE,Masters,armed-forces,golf,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,NO,NO,BMW,0
253,41,2000,1312.75,0,81300,0,10,3,2,2,2014,OH,100/300,FEMALE,PhD,sales,dancing,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,NO,YES,Toyota,1
10,26,2000,765.64,0,0,-22200,3,3,0,3,2001,IN,100/300,MALE,MD,sales,base-jumping,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,?,?,Honda,1
158,33,2000,1327.41,0,0,-38600,0,1,0,0,2012,OH,100/300,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,?,?,Suburu,0
436,59,1000,1338.55,0,39000,0,10,3,2,2,2014,OH,500/1000,MALE,PhD,protective-serv,board-games,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,?,NO,Toyota,0
91,30,2000,1316.63,8000000,43900,0,13,3,2,0,2009,IL,250/500,FEMALE,Masters,machine-op-inspct,golf,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,YES,?,BMW,0
256,42,1000,1286.44,0,0,-39500,14,1,2,1,1998,IL,500/1000,FEMALE,MD,transport-moving,bungie-jumping,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,NO,?,Nissan,0
274,46,1000,1372.18,0,0,0,22,3,1,3,2009,OH,500/1000,MALE,High School,exec-managerial,bungie-jumping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,NO,?,BMW,0
275,45,2000,1447.77,0,39400,-63900,8,3,1,1,1998,IN,500/1000,FEMALE,Associate,adm-clerical,camping,wife,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,YES,?,Accura,0
1,33,500,903.32,0,0,0,1,3,1,0,2006,IL,250/500,FEMALE,High School,transport-moving,yachting,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,?,?,Toyota,0
85,30,1000,1454.42,0,51600,-73900,19,1,0,1,2006,IN,500/1000,MALE,Associate,protective-serv,reading,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,YES,YES,Suburu,1
233,37,2000,1603.42,0,61600,-30200,17,1,0,2,2005,IL,100/300,FEMALE,High School,sales,video-games,wife,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,YES,YES,Toyota,0
142,30,2000,1616.58,0,58500,-46800,13,3,0,3,2010,IN,250/500,MALE,JD,adm-clerical,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,YES,YES,Dodge,0
266,44,500,1611.83,0,0,0,4,1,1,2,2012,IL,250/500,MALE,High School,handlers-cleaners,movies,husband,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,?,YES,BMW,0
350,50,500,889.13,0,0,0,14,3,0,2,2015,OH,500/1000,FEMALE,Masters,priv-house-serv,board-games,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,NO,NO,Audi,0
97,26,1000,1252.08,0,0,0,4,2,2,2,2000,IL,250/500,MALE,College,exec-managerial,sleeping,not-in-family,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,YES,NO,Honda,1
399,55,2000,995.56,0,0,-65400,23,3,1,1,2010,IL,500/1000,MALE,JD,tech-support,sleeping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,YES,YES,Nissan,0
305,49,2000,1347.92,0,0,-42100,21,3,0,2,2003,IL,100/300,FEMALE,High School,farming-fishing,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,YES,?,Volkswagen,0
276,47,1000,1724.09,0,0,0,23,3,0,0,2014,IN,100/300,MALE,PhD,craft-repair,yachting,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,YES,?,Chevrolet,0
257,40,500,1379.93,0,0,0,6,3,0,2,2002,IN,250/500,MALE,MD,armed-forces,base-jumping,husband,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,?,YES,Audi,1
78,31,1000,1554.64,4000000,0,-27900,21,1,1,0,2009,IN,250/500,MALE,PhD,protective-serv,board-games,own-child,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,NO,NO,Honda,1
129,28,1000,1377.94,0,0,0,23,1,2,3,2005,OH,500/1000,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,?,?,Toyota,0
283,46,2000,1313.33,0,53500,-73600,3,3,1,3,2004,IL,500/1000,FEMALE,PhD,transport-moving,reading,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,?,NO,Nissan,1
85,25,500,1259.02,0,67000,-53600,8,1,2,2,2005,IN,250/500,FEMALE,JD,tech-support,base-jumping,unmarried,Parked Car,?,Trivial Damage,,SC,Northbend,NO,?,Nissan,0
101,26,1000,1371.88,0,0,0,4,1,2,2,1995,IL,500/1000,FEMALE,MD,prof-specialty,reading,husband,Parked Car,?,Trivial Damage,,VA,Arlington,?,?,Suburu,0
96,30,500,1399.27,6000000,38900,-48700,22,1,0,0,2004,OH,100/300,MALE,College,prof-specialty,hiking,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,?,YES,Ford,0
121,31,1000,1061.98,6000000,0,0,16,1,0,1,2002,IL,500/1000,FEMALE,JD,armed-forces,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,NO,YES,BMW,0
176,39,500,1365.46,4000000,0,-56600,14,3,2,1,2008,OH,250/500,MALE,College,armed-forces,sleeping,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,NO,NO,Chevrolet,0
159,37,1000,894.4,0,0,-53700,13,1,2,0,1999,IL,500/1000,MALE,Associate,tech-support,camping,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,YES,NO,Dodge,0
120,30,500,956.69,0,39600,-64300,20,1,1,1,2000,IN,250/500,FEMALE,Associate,priv-house-serv,movies,husband,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,?,YES,Saab,0
212,35,2000,1123.89,0,35400,-49200,0,3,1,3,1996,IN,500/1000,MALE,MD,priv-house-serv,video-games,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,?,?,Suburu,0
290,45,500,1085.03,0,0,-61000,23,3,2,2,2014,IL,100/300,FEMALE,JD,sales,cross-fit,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,YES,NO,Audi,1
299,42,2000,1437.33,0,25000,0,13,1,1,3,2000,OH,100/300,FEMALE,Associate,craft-repair,movies,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,YES,NO,BMW,0
66,26,1000,988.29,0,0,0,8,1,2,2,2008,IL,250/500,MALE,College,armed-forces,skydiving,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,?,YES,Suburu,1
334,47,500,1238.89,0,0,0,3,1,0,3,2011,IL,500/1000,MALE,Masters,protective-serv,sleeping,other-relative,Vehicle Theft,?,Minor Damage,,WV,Northbend,?,NO,Ford,0
216,38,1000,1384.64,5000000,0,0,16,1,2,3,2012,IN,100/300,FEMALE,Associate,tech-support,board-games,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,?,NO,Jeep,1
86,28,2000,1595.07,0,75800,0,19,1,0,2,2002,IN,100/300,MALE,PhD,transport-moving,hiking,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,YES,YES,Jeep,0
429,56,1000,1127.89,6000000,67400,-43800,0,1,2,0,2002,OH,250/500,MALE,Associate,machine-op-inspct,skydiving,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,YES,YES,Suburu,0
257,43,2000,929.7,6000000,46400,-74300,12,1,2,2,2005,IN,500/1000,FEMALE,PhD,handlers-cleaners,base-jumping,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,?,YES,Mercedes,0
15,34,1000,1829.63,0,56700,0,21,3,1,0,2009,IL,100/300,MALE,JD,tech-support,cross-fit,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,YES,?,Audi,0
230,39,1000,904.7,7000000,68600,-22300,0,1,1,3,2002,IL,100/300,FEMALE,MD,craft-repair,bungie-jumping,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,?,NO,Accura,1
250,43,1000,1243.84,0,47900,-73400,22,1,1,3,2011,OH,500/1000,FEMALE,JD,tech-support,polo,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,YES,NO,Volkswagen,0
270,44,2000,1030.95,0,47200,0,20,3,1,0,2007,IL,500/1000,FEMALE,Associate,machine-op-inspct,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,?,NO,Audi,1
65,26,500,1285.03,3000000,0,-41500,0,1,1,3,2011,IN,100/300,FEMALE,High School,craft-repair,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,NO,?,Honda,0
475,57,500,1216.56,0,67400,-83200,20,1,0,2,2000,OH,100/300,MALE,Masters,adm-clerical,skydiving,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,?,NO,Suburu,0
77,27,2000,966.26,0,56400,-32800,1,3,0,0,1995,IN,500/1000,FEMALE,High School,adm-clerical,base-jumping,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,YES,?,Volkswagen,0
256,43,500,1203.17,0,56700,-65600,11,1,0,0,1997,OH,100/300,FEMALE,MD,prof-specialty,golf,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,NO,?,Nissan,0
229,37,2000,1212.12,0,65600,0,14,3,1,1,1995,IL,250/500,FEMALE,MD,craft-repair,paintball,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,YES,YES,Ford,0
110,28,1000,1573.93,0,30400,0,20,3,0,2,2010,OH,250/500,MALE,College,other-service,movies,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,YES,?,Suburu,0
177,33,1000,1609.67,0,0,-13200,22,1,1,3,2004,IL,100/300,MALE,College,adm-clerical,yachting,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,?,?,Jeep,1
292,44,500,1097.57,0,0,0,12,1,1,0,2005,OH,500/1000,MALE,PhD,priv-house-serv,basketball,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,NO,YES,Saab,0
451,61,2000,1618.65,2000000,0,-42600,3,3,2,1,1997,IN,250/500,FEMALE,Associate,transport-moving,polo,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,YES,YES,Chevrolet,1
61,24,500,922.67,0,47400,0,15,3,2,1,2011,IN,100/300,FEMALE,College,priv-house-serv,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,YES,?,Toyota,1
150,30,1000,1342.02,0,0,0,8,1,0,2,1999,IN,100/300,MALE,MD,prof-specialty,polo,own-child,Parked Car,?,Trivial Damage,,VA,Arlington,YES,NO,Saab,0
283,41,500,1195.01,0,60700,-54300,13,3,0,2,2011,OH,100/300,FEMALE,Associate,sales,reading,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,NO,?,Mercedes,1
291,46,1000,994.74,0,0,-55300,8,1,2,2,2005,OH,500/1000,FEMALE,High School,adm-clerical,polo,own-child,Parked Car,?,Minor Damage,Police,SC,Hillsdale,NO,YES,Volkswagen,1
162,31,1000,1050.24,0,30700,0,7,1,0,0,2013,IN,100/300,FEMALE,Masters,adm-clerical,chess,wife,Parked Car,?,Minor Damage,,NC,Arlington,?,NO,BMW,1
154,36,2000,1313.51,7000000,68500,0,9,1,2,0,2015,IL,250/500,FEMALE,Masters,exec-managerial,dancing,own-child,Vehicle Theft,?,Trivial Damage,,SC,Northbrook,?,?,Volkswagen,0
289,47,2000,1102.29,0,73000,-37900,15,1,1,0,1996,OH,500/1000,FEMALE,Associate,adm-clerical,hiking,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,NO,YES,Toyota,0
10,19,1000,1185.78,0,0,-60700,5,1,0,2,2011,IN,250/500,FEMALE,JD,craft-repair,yachting,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,?,?,Accura,1
309,47,500,1527.95,0,69400,0,15,4,0,1,2002,IL,500/1000,MALE,PhD,exec-managerial,hiking,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,YES,?,Dodge,0
396,57,1000,1366.39,0,0,-22400,22,3,2,1,1995,IN,100/300,MALE,High School,protective-serv,exercise,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,YES,NO,Saab,0
273,41,1000,1403.9,0,0,0,16,2,1,2,2015,OH,500/1000,FEMALE,PhD,farming-fishing,dancing,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Riverwood,?,YES,Honda,0
129,30,2000,927.23,0,51500,0,7,1,1,3,2009,IL,500/1000,FEMALE,PhD,sales,video-games,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,NO,?,Suburu,0
140,31,2000,1554.86,6000000,59000,0,2,1,1,2,2002,OH,250/500,FEMALE,JD,armed-forces,base-jumping,wife,Parked Car,?,Minor Damage,,WV,Arlington,YES,?,Honda,1
419,53,2000,736.07,6000000,45700,0,17,4,0,0,2012,IL,500/1000,MALE,College,transport-moving,chess,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,?,YES,Suburu,0
315,44,1000,974.16,6000000,0,-56800,12,3,1,0,2006,IL,250/500,FEMALE,Masters,sales,reading,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,?,YES,Volkswagen,0
72,29,500,973.8,0,0,-85900,9,1,1,0,2013,OH,500/1000,FEMALE,Associate,craft-repair,exercise,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,?,NO,Dodge,0
32,26,2000,1260.32,6000000,0,-79800,16,1,1,2,2009,OH,100/300,MALE,JD,other-service,polo,not-in-family,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Northbrook,?,?,Toyota,0
